127.0.0.1 - - [03/Oct/2022:13:27:50 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:27:56 +0530] "GET /ServiceProvider/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:27:56 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:28:45 +0530] "GET /ServiceProvider/AloginByJsp.jsp?id=admin&pwd=123455 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:28:50 +0530] "GET /ServiceProvider/AloginByJsp.jsp?id=admin&pwd=12345 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:28:51 +0530] "GET /ServiceProvider/Adminhome.jsp HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:28:52 +0530] "GET /ServiceProvider/ShowAllUser.jsp HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:28:57 +0530] "GET /ServiceProvider/ShowAllUser.jsp HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:29:04 +0530] "GET /ServiceProvider/Show.jsp HTTP/1.1" 500 165
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:29:17 +0530] "GET /ServiceProvider/Show.jsp HTTP/1.1" 200 3464
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:33:32 +0530] "GET /ServiceProvider/Adminhome.jsp HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:33:34 +0530] "GET /ServiceProvider/admin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:33:39 +0530] "GET /ServiceProvider/AloginByJsp.jsp?id=admin&pwd=12345 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:33:39 +0530] "GET /ServiceProvider/Adminhome.jsp HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:33:40 +0530] "GET /ServiceProvider/ShowAllUser.jsp HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:34:14 +0530] "GET /ServiceProvider/ShowAllUser.jsp HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:34:15 +0530] "GET /ServiceProvider/ShowAllUser.jsp HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:35:54 +0530] "GET /ServiceProvider/admin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:35:59 +0530] "GET /ServiceProvider/AloginByJsp.jsp?id=admin&pwd=12345 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:35:59 +0530] "GET /ServiceProvider/Adminhome.jsp HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:36:04 +0530] "GET /ServiceProvider/ShowAllUser.jsp HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:36:06 +0530] "GET /ServiceProvider/DeleteUser.jsp?email=rahul.rgupta30@gmail.com HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:36:10 +0530] "GET /ServiceProvider/DeleteUser.jsp?email=rahul.rgupta30@gmail.com HTTP/1.1" 200 557
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:36:11 +0530] "GET /ServiceProvider/DeleteUser.jsp?email=rahul.rgupta30@gmail.com HTTP/1.1" 200 557
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:37:21 +0530] "GET /ServiceProvider/DeleteUser.jsp?email=rahul.rgupta30@gmail.com HTTP/1.1" 200 557
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:37:26 +0530] "GET /ServiceProvider/ForUser.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:37:27 +0530] "GET /ServiceProvider/userregis.html HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:37:40 +0530] "GET /ServiceProvider/UserRegistration.jsp?name=Rahul+gupta&email=rahul.rgupta30%40gmail.com&password=12345&r=male&address=freeganj%2Cindore&mobile=7000459761&Login=Submit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:37:55 +0530] "GET /ServiceProvider/AloginByJsp.jsp?id=admin&pwd=12345 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:37:55 +0530] "GET /ServiceProvider/Adminhome.jsp HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:37:56 +0530] "GET /ServiceProvider/ShowAllUser.jsp HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:37:58 +0530] "GET /ServiceProvider/DeleteUser.jsp?email=rahul.rgupta30@gmail.com HTTP/1.1" 200 593
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:40:48 +0530] "GET /ServiceProvider/userregis.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:40:50 +0530] "GET /ServiceProvider/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:41:22 +0530] "GET /ServiceProvider/UserRegistration.jsp?name=sudhir&email=sudhir%40gmail.com&password=12345&r=male&address=freeganj%2Cindore&mobile=24525525&Login=Submit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:42:29 +0530] "GET /ServiceProvider/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:42:35 +0530] "GET /ServiceProvider/AloginByJsp.jsp?id=admin&pwd=12345 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:42:35 +0530] "GET /ServiceProvider/Adminhome.jsp HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:42:36 +0530] "GET /ServiceProvider/ShowAllUser.jsp HTTP/1.1" 200 798
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:42:37 +0530] "GET /ServiceProvider/DeleteUser.jsp?email=sudhir@gmail.com HTTP/1.1" 200 593
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:43:17 +0530] "GET /ServiceProvider/UserRegistration.jsp?name=sudhir&email=sudhir%40gmail.com&password=12345&r=male&address=freeganj%2Cindore&mobile=245255265&Login=Submit HTTP/1.1" 500 351
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:44:27 +0530] "GET /ServiceProvider/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:44:27 +0530] "GET /ServiceProvider/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:44:28 +0530] "GET /ServiceProvider/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:44:58 +0530] "GET /ServiceProvider/UserRegistration.jsp?name=sameer&email=sameer%40gmail.com&password=12345&r=male&address=freeganj%2Cindore&mobile=2452554343&Login=Submit HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:46:12 +0530] "GET /ServiceProvider/AloginByJsp.jsp?id=admin&pwd=12345 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:46:12 +0530] "GET /ServiceProvider/Adminhome.jsp HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:46:14 +0530] "GET /ServiceProvider/ShowAllUser.jsp HTTP/1.1" 200 44792
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:46:17 +0530] "GET /ServiceProvider/DeleteUser.jsp?email=sudhir@gmail.com HTTP/1.1" 200 44586
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:46:19 +0530] "GET /ServiceProvider/DeleteUser.jsp?email=sudhir@gmail.com HTTP/1.1" 200 44550
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:46:21 +0530] "GET /ServiceProvider/DeleteUser.jsp?email=sudhir@gmail.com HTTP/1.1" 200 44550
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:46:21 +0530] "GET /ServiceProvider/DeleteUser.jsp?email=sudhir@gmail.com HTTP/1.1" 200 44550
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:46:23 +0530] "GET /ServiceProvider/DeleteUser.jsp?email=sameer@gmail.com HTTP/1.1" 200 593
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:46:26 +0530] "GET /ServiceProvider/DeleteUser.jsp?email=sameer@gmail.com HTTP/1.1" 200 557
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:46:33 +0530] "GET /ServiceProvider/AloginByJsp.jsp?id=admin&pwd=12345 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:46:33 +0530] "GET /ServiceProvider/Adminhome.jsp HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:46:34 +0530] "GET /ServiceProvider/ShowAllUser.jsp HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:47:43 +0530] "GET /ServiceProvider/UserRegistration.jsp?name=ravi&email=ravi%40gmail.com&password=2232344&r=male&address=freeganj%2Cindore&mobile=243452345&Login=Submit HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [03/Oct/2022:13:48:48 +0530] "GET /ServiceProvider/AloginByJsp.jsp?id=admin&pwd=12345 HTTP/1.1" 302 -
