127.0.0.1 - - [02/Feb/2023:22:03:42 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [02/Feb/2023:22:03:48 +0530] "GET /ServiceProvider/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:22:03:48 +0530] "GET /ServiceProvider/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:22:03:48 +0530] "GET /ServiceProvider/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:22:03:48 +0530] "GET /ServiceProvider/tt_slideshow.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:22:03:48 +0530] "GET /ServiceProvider/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:22:03:48 +0530] "GET /ServiceProvider/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:22:03:48 +0530] "GET /ServiceProvider/totop.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:22:03:48 +0530] "GET /ServiceProvider/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:22:03:48 +0530] "GET /ServiceProvider/images/73.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:22:03:48 +0530] "GET /ServiceProvider/images/72.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:22:03:48 +0530] "GET /ServiceProvider/images/74.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:22:03:48 +0530] "GET /ServiceProvider/images/HomeTabletSlide0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:22:03:48 +0530] "GET /ServiceProvider/images/HomeDesktopSlide1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:22:03:48 +0530] "GET /ServiceProvider/images/HomeDesktopSlide2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:22:03:48 +0530] "GET /ServiceProvider/Fonts/Roboto/regular.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:22:03:48 +0530] "GET /ServiceProvider/Fonts/Roboto/Roboto-Light.ttf HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [02/Feb/2023:22:03:48 +0530] "GET /ServiceProvider/images/footerfacebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:22:03:48 +0530] "GET /ServiceProvider/images/footertwitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:22:03:48 +0530] "GET /ServiceProvider/images/footergoogleplus.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:22:03:49 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [02/Feb/2023:22:03:50 +0530] "GET /ServiceProvider/images/HomeDesktopSlide0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:22:04:07 +0530] "GET /ServiceProvider/AloginByJsp.jsp?id=admin&pwd=1234 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:22:04:07 +0530] "GET /ServiceProvider/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:22:04:07 +0530] "GET /ServiceProvider/Fonts/Roboto/Roboto-Light.ttf HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [02/Feb/2023:22:04:14 +0530] "GET /ServiceProvider/AloginByJsp.jsp?id=admin&pwd=12345 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:22:04:14 +0530] "GET /ServiceProvider/Adminhome.jsp HTTP/1.1" 200 19642
0:0:0:0:0:0:0:1 - - [02/Feb/2023:22:04:14 +0530] "GET /ServiceProvider/Fonts/Roboto/Roboto-Light.ttf HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [02/Feb/2023:22:04:22 +0530] "GET /ServiceProvider/Show.jsp HTTP/1.1" 500 165
0:0:0:0:0:0:0:1 - - [02/Feb/2023:22:04:29 +0530] "GET /ServiceProvider/ShowAllUser.jsp HTTP/1.1" 500 165
